,Name,Sector,Code,Market,Mktcap(m),Share_count(m),EPS,PERatio,ROE
215,PARAMOUNT CORPORATION BERHAD,PROPERTY ,PARAMON (1724),MAIN,1022.9999999999999,433.34,21.72 *,10.87,8.72
216,PASDEC HOLDINGS BERHAD,PROPERTY ,PASDEC (6912),MAIN,152.14,400.37,-4.58 *,-,-5.39
217,PEGASUS HEIGHTS BERHAD,PROPERTY ,PHB (4464),MAIN,71.96,7196.0,-0.30 *,-,-5.77
218,PLB ENGINEERING BERHAD,PROPERTY ,PLB (7055),MAIN,129.25,112.4,-3.51 *,-,-2.56
219,PLENITUDE BERHAD,PROPERTY ,PLENITU (5075),MAIN,541.78,381.53,10.16 *,13.98,2.49
220,RAPID SYNERGY BERHAD,PROPERTY ,RAPID (7765),MAIN,614.65,106.9,2.28 *,252.19,1.7
221,SAPURA RESOURCES BERHAD,PROPERTY ,SAPRES (4596),MAIN,92.83,139.6,-4.66 *,-,-1.46
222,SBC CORPORATION BERHAD,PROPERTY ,SBCCORP (5207),MAIN,118.74,258.13,5.07 *,9.07,3.02
223,SELANGOR DREDGING BERHAD,PROPERTY ,SDRED (2224),MAIN,291.9,426.13,5.73 *,11.95,2.84
224,SEAL INCORPORATED BERHAD,PROPERTY ,SEAL (4286),MAIN,74.1,242.95,7.41 *,4.12,6.23
225,SHL CONSOLIDATED BHD,PROPERTY ,SHL (6017),MAIN,583.52,242.12,26.12 *,9.23,7.77
226,SIME DARBY PROPERTY BERHAD,PROPERTY ,SIMEPROP (5288),MAIN,6733.0,6801.0,-,-,-
227,SOUTH MALAYSIA INDUSTRIES BERHAD,PROPERTY ,SMI (4375),MAIN,35.69,209.94,-0.13 *,-,-0.16
228,SENTORIA GROUP BERHAD,PROPERTY ,SNTORIA (5213),MAIN,127.64,567.28,2.32 *,9.7,2.39
229,S P SETIA BERHAD,PROPERTY ,SPSETIA (8664),MAIN,8449.0,4042.0,16.38 *,12.76,5.35
230,SUNSURIA BERHAD,PROPERTY ,SUNSURIA (3743),MAIN,667.44,889.92,17.15 *,4.37,15.18
231,SYMPHONY LIFE BERHAD,PROPERTY ,SYMLIFE (1538),MAIN,242.02,590.28,13.25 *,3.09,8.66
232,TADMAX RESOURCES BERHAD,PROPERTY ,TADMAX (4022),MAIN,219.45,783.76,1.61 *,17.39,3.35
233,TA GLOBAL BERHAD,PROPERTY ,TAGB (5158),MAIN,1304.0,5322.0,0.88 *,27.84,1.47
234,TALAM TRANSFORM BERHAD,PROPERTY ,TALAMT (2259),MAIN,150.33,4295.0,0.12 *,29.17,1.33
235,TAMBUN INDAH LAND BERHAD,PROPERTY ,TAMBUN (5191),MAIN,338.09,433.45,12.49 *,6.24,8.73
236,TANCO HOLDINGS BERHAD,PROPERTY ,TANCO (2429),MAIN,32.91,731.43,-1.39 *,-,-6.59
237,THRIVEN GLOBAL BERHAD,PROPERTY ,THRIVEN (7889),MAIN,125.8,546.94,5.62 *,4.09,14.41
238,TIGER SYNERGY BERHAD,PROPERTY ,TIGER (7079),MAIN,63.46,1269.0,-0.24 *,-,-0.62
239,TITIJAYA LAND BERHAD,PROPERTY ,TITIJYA (5239),MAIN,396.61,1344.0,3.24 *,9.1,3.34
240,TROPICANA CORPORATION BERHAD,PROPERTY ,TROP (5401),MAIN,1243.0,1470.0,11.54 *,7.32,4.87
241,UEM SUNRISE BERHAD,PROPERTY ,UEMS (5148),MAIN,3653.0,4537.0,6.28 *,12.82,4
242,UOA DEVELOPMENT BHD,PROPERTY ,UOADEV (5200),MAIN,4151.0,1845.0,22.03 *,10.21,8.57
243,WMG HOLDINGS BERHAD,PROPERTY ,WMG (6378),MAIN,40.49,426.17,-5.38 *,-,-11.7
244,Y&G CORPORATION BHD,PROPERTY ,Y&G (7003),MAIN,181.44,199.38,4.13 *,22.03,2.85
245,YNH PROPERTY BERHAD,PROPERTY ,YNHPROP (3158),MAIN,1423.0,529.0,3.35 *,80.3,1.94
246,YONG TAI BERHAD,PROPERTY ,YONGTAI (7066),MAIN,170.95,534.21,-2.05 *,-,-1.85
247,YTL LAND & DEVELOPMENT BERHAD,PROPERTY ,YTLLAND (2577),MAIN,282.86,844.34,-16.26 *,-,-18.48
248,ASIA MEDIA GROUP BERHAD,TELECOMMUNICATIONS & MEDIA ,AMEDIA (0159),MAIN,32.33,239.46,-1.26 *,-,-14.65
249,AMTEL HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,AMTEL (7031),MAIN,36.31,54.2,3.50 *,19.14,4.13
250,ASTRO MALAYSIA HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,ASTRO (6399),MAIN,7561.0,5214.0,8.91 *,16.27,66.99
251,AXIATA GROUP BERHAD,TELECOMMUNICATIONS & MEDIA ,AXIATA (6888),MAIN,47286.0,9129.0,-45.77 *,-,-24.61
252,BINASAT COMMUNICATIONS BERHAD,TELECOMMUNICATIONS & MEDIA ,BINACOM (0195),ACE,81.9,260.0,3.15 *,10,10.86
253,BERJAYA MEDIA BERHAD,TELECOMMUNICATIONS & MEDIA ,BJMEDIA (6025),MAIN,42.32,235.08,-7.23 *,-,-
254,DIGI.COM BERHAD,TELECOMMUNICATIONS & MEDIA ,DIGI (6947),MAIN,39264.0,7775.0,19.35 *,26.1,215
255,ECOBUILT HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,ECOHLDS (0059),MAIN,34.17,162.71,-3.09 *,-,-7.04
256,GREEN PACKET BERHAD,TELECOMMUNICATIONS & MEDIA ,GPACKET (0082),MAIN,349.94,908.92,-8.06 *,-,-47.41
257,INNITY CORPORATION BERHAD,TELECOMMUNICATIONS & MEDIA ,INNITY (0147),ACE,65.38,139.1,1.05 *,44.76,4.38
258,MAXIS BERHAD,TELECOMMUNICATIONS & MEDIA ,MAXIS (6012),MAIN,44029.0,7820.0,21.30 *,26.43,23.41
259,MEDIA PRIMA BERHAD,TELECOMMUNICATIONS & MEDIA ,MEDIA (4502),MAIN,526.87,1109.0,3.61 *,13.16,5.42
260,MEDIA CHINESE INTERNATIONAL LIMITED,TELECOMMUNICATIONS & MEDIA ,MEDIAC (5090),MAIN,312.14,1687.0,-2.73 *,-,-6.72
261,M N C WIRELESS BERHAD,TELECOMMUNICATIONS & MEDIA ,MNC (0103),ACE,31.09,478.38,-,-,-
262,MTOUCHE TECHNOLOGY BERHAD,TELECOMMUNICATIONS & MEDIA ,MTOUCHE (0092),ACE,30.51,508.56,-4.57 *,-,-38.4
263,NEXGRAM HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,NEXGRAM (0096),ACE,41.42,2071.0,-2.55 *,-,-0.35
264,OCK GROUP BERHAD,TELECOMMUNICATIONS & MEDIA ,OCK (0172),MAIN,488.02,871.47,2.78 *,20.14,5.67
265,OPCOM HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,OPCOM (0035),ACE,86.27,161.25,0.29 *,184.48,0.53
266,PELANGI PUBLISHING GROUP BHD.,TELECOMMUNICATIONS & MEDIA ,PPG (7190),MAIN,35.02,100.04,2.61 *,13.41,2.45
267,PRIVASIA TECHNOLOGY BERHAD,TELECOMMUNICATIONS & MEDIA ,PRIVA (0123),ACE,36.28,558.2,-0.83 *,-,-6.92
268,PUC BERHAD,TELECOMMUNICATIONS & MEDIA ,PUC (0007),ACE,183.42,2158.0,0.36 *,23.61,3.05
269,REDTONE INTERNATIONAL BERHAD,TELECOMMUNICATIONS & MEDIA ,REDTONE (0032),ACE,295.85,758.59,-,-,-
270,REV ASIA BERHAD,TELECOMMUNICATIONS & MEDIA ,REV (0173),ACE,24.91,134.64,-0.34 *,-,-6.8
271,SASBADI HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,SASBADI (5252),MAIN,85.92,419.1,0.15 *,136.67,0.39
272,SEDANIA INNOVATOR BERHAD,TELECOMMUNICATIONS & MEDIA ,SEDANIA (0178),ACE,42.23,248.39,-1.56 *,-,-13.11
273,SENI JAYA CORPORATION BERHAD,TELECOMMUNICATIONS & MEDIA ,SJC (9431),MAIN,20.87,40.53,-3.21 *,-,-2.45
274,SILVER RIDGE HOLDINGS BHD,TELECOMMUNICATIONS & MEDIA ,SRIDGE (0129),ACE,31.58,140.35,-,-,-
275,STAR MEDIA GROUP BERHAD,TELECOMMUNICATIONS & MEDIA ,STAR (6084),MAIN,472.68,738.56,-0.34 *,-,-0.31
276,TIME DOTCOM BERHAD,TELECOMMUNICATIONS & MEDIA ,TIMECOM (5031),MAIN,5277.0,583.7,49.49 *,18.27,11.67
277,TELEKOM MALAYSIA BERHAD,TELECOMMUNICATIONS & MEDIA ,TM (4863),MAIN,16271.999999999998,3758.0,8.10 *,53.46,4.35
278,UTUSAN MELAYU (MALAYSIA) BERHAD,TELECOMMUNICATIONS & MEDIA ,UTUSAN (5754),MAIN,13.29,110.73,-170.52 *,-,-
279,XOX BHD,TELECOMMUNICATIONS & MEDIA ,XOX (0165),ACE,60.08,1092.0,-0.53 *,-,-4.73
280,MALAYSIA AIRPORTS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,AIRPORT (5014),MAIN,14535.0,1659.0,26.05 *,33.63,4.69
281,ANCOM LOGISTICS BERHAD,TRANSPORTATION & LOGISTICS ,ANCOMLB (0048),ACE,33.13,473.29,-0.18 *,-,-3.6
282,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,TRANSPORTATION & LOGISTICS ,BHIC (8133),MAIN,313.06,248.46,-47.14 *,-,-51.24
283,BINTULU PORT HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,BIPORT (5032),MAIN,2144.0,460.0,32.68 *,14.26,11.78
284,CHIN HIN GROUP PROPERTY BERHAD,TRANSPORTATION & LOGISTICS ,CHGP (7187),MAIN,92.1,297.11,1.15 *,26.96,2.88
285,CJ CENTURY LOGISTICS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,CJCEN (7117),MAIN,167.55,394.23,1.36 *,31.25,1.66
286,COMPLETE LOGISTIC SERVICES BERHAD,TRANSPORTATION & LOGISTICS ,COMPLET (5136),MAIN,100.33,125.41,8.52 *,9.39,6.98
287,E.A.TECHNIQUE (M) BERHAD,TRANSPORTATION & LOGISTICS ,EATECH (5259),MAIN,234.36,504.0,13.13 *,3.54,27.94
288,FREIGHT MANAGEMENT HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,FREIGHT (7210),MAIN,170.33,279.22,5.98 *,10.2,5.75
289,GD EXPRESS CARRIER BERHAD,TRANSPORTATION & LOGISTICS ,GDEX (0078),MAIN,1664.0,5641.0,0.52 *,56.73,5.78
290,GUNUNG CAPITAL BERHAD,TRANSPORTATION & LOGISTICS ,GUNUNG (7676),MAIN,66.13,236.18,-1.75 *,-,-4.18
291,HARBOUR-LINK GROUP BERHAD,TRANSPORTATION & LOGISTICS ,HARBOUR (2062),MAIN,268.27,400.4,8.38 *,8,8.46
292,HUBLINE BERHAD,TRANSPORTATION & LOGISTICS ,HUBLINE (7013),MAIN,171.86,3819.0,-0.14 *,-,-2.8
293,INTEGRATED LOGISTICS BHD,TRANSPORTATION & LOGISTICS ,ILB (5614),MAIN,71.18,195.03,-50.21 *,-,-50.61
294,LINGKARAN TRANS KOTA HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,LITRAK (6645),MAIN,2565.0,528.78,44.65 *,10.86,25.34
295,MARINE & GENERAL BERHAD,TRANSPORTATION & LOGISTICS ,M&G (5078),MAIN,54.29,723.88,-,-,-
296,MALAYSIAN BULK CARRIERS BERHAD,TRANSPORTATION & LOGISTICS ,MAYBULK (5077),MAIN,590.0,1000.0,26.74 *,2.21,70.18
297,MISC BERHAD,TRANSPORTATION & LOGISTICS ,MISC (3816),MAIN,32540.999999999996,4464.0,33.86 *,21.53,4.35
298,MMC CORPORATION BERHAD,TRANSPORTATION & LOGISTICS ,MMCCORP (2194),MAIN,3654.0,3045.0,7.63 *,15.73,2.55
299,NATIONWIDE EXPRESS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,NATWIDE (9806),MAIN,28.34,123.24,-27.15 *,-,-0.49
300,PDZ HOLDINGS BHD,TRANSPORTATION & LOGISTICS ,PDZ (6254),MAIN,23.87,681.99,-1.72 *,-,-21.5
301,POS MALAYSIA BERHAD,TRANSPORTATION & LOGISTICS ,POS (4634),MAIN,1472.0,782.78,-21.17 *,-,-9.67
302,PERAK CORPORATION BERHAD,TRANSPORTATION & LOGISTICS ,PRKCORP (8346),MAIN,35.0,100.0,-89.71 *,-,-76.68
303,SEALINK INTERNATIONAL BERHAD,TRANSPORTATION & LOGISTICS ,SEALINK (5145),MAIN,90.0,500.0,-3.62 *,-,-5.1
304,SEE HUP CONSOLIDATED BERHAD,TRANSPORTATION & LOGISTICS ,SEEHUP (7053),MAIN,68.36,80.43,-4.43 *,-,-4.29
305,STRAITS INTER LOGISTICS BERHAD,TRANSPORTATION & LOGISTICS ,STRAITS (0080),ACE,143.14,650.66,0.73 *,30.14,4.48
306,SURIA CAPITAL HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,SURIA (6521),MAIN,463.4,345.82,15.72 *,8.52,4.97
307,SHIN YANG SHIPPING CORPORATION BERHAD,TRANSPORTATION & LOGISTICS ,SYSCORP (5173),MAIN,360.0,1200.0,-1.26 *,-,-1.29
308,TAS OFFSHORE BERHAD,TRANSPORTATION & LOGISTICS ,TAS (5149),MAIN,46.8,180.0,0.95 *,27.37,1.05
309,TASCO BERHAD,TRANSPORTATION & LOGISTICS ,TASCO (5140),MAIN,248.0,200.0,6.53 *,18.99,3.51
310,TIONG NAM LOGISTICS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,TNLOGIS (8397),MAIN,225.78,460.78,-0.45 *,-,-0.3
311,TRANSOCEAN HOLDINGS BHD,TRANSPORTATION & LOGISTICS ,TOCEAN (7218),MAIN,20.91,41.0,0.30 *,170,0.29
312,TRI-MODE SYSTEM (M) BERHAD,TRANSPORTATION & LOGISTICS ,TRIMODE (0199),ACE,59.76,166.0,1.21 *,29.75,2.88
313,WESTPORTS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,WPRTS (5246),MAIN,13640.0,3410.0,16.12 *,24.81,23.5
314,XIN HWA HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,XINHWA (5267),MAIN,106.92,216.0,0.77 *,64.29,1.13
315,AMANAH HARTA TANAH PNB,REAL ESTATE INVESTMENT TRUSTS ,AHP (4952),MAIN,176.0,220.0,5.64 *,14.18,4.45
316,AL-`AQAR HEALTHCARE REIT,REAL ESTATE INVESTMENT TRUSTS ,ALAQAR (5116),MAIN,1111.0,735.99,12.31 *,12.27,9.55
317,AL-SALAM REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,ALSREIT (5269),MAIN,524.9,580.0,0 *,-,0
318,AMFIRST REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,AMFIRST (5120),MAIN,350.06,686.4,3.25 *,15.69,2.64
319,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,ARREIT (5127),MAIN,481.5,573.22,0 *,-,0
320,ATRIUM REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,ATRIUM (5130),MAIN,173.93,146.16,7.96 *,14.95,5.31
321,AXIS REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,AXREIT (5106),MAIN,2141.0,1237.0,12.13 *,14.26,9.04
322,CAPITALAND MALAYSIA MALL TRUST,REAL ESTATE INVESTMENT TRUSTS ,CMMT (5180),MAIN,2126.0,2044.0,6.40 *,16.25,5.06
323,HEKTAR REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,HEKTAR (5121),MAIN,459.65,461.96,6.79 *,14.65,4.95
324,IGB REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,IGBREIT (5227),MAIN,7050.0,3543.0,9.44 *,21.08,8.86
325,KIP REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,KIPREIT (5280),MAIN,424.45,505.3,6.91 *,12.16,6.91
326,MRCB-QUILL REIT,REAL ESTATE INVESTMENT TRUSTS ,MQREIT (5123),MAIN,1158.0,1072.0,6.67 *,16.19,5.37
327,PAVILION REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,PAVREIT (5212),MAIN,5744.0,3039.0,9.63 *,19.63,7.61
328,SUNWAY REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,SUNREIT (5176),MAIN,5596.0,2945.0,14.11 *,13.47,9.7
329,TOWER REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,TWRREIT (5111),MAIN,251.05,280.5,-,-,-
330,UOA REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,UOAREIT (5110),MAIN,558.19,422.87,8.57 *,15.4,4.99
331,YTL HOSPITALITY REIT,REAL ESTATE INVESTMENT TRUSTS ,YTLREIT (5109),MAIN,2301.0,1704.0,8.75 *,15.43,5.64
332,ALAM MARITIM RESOURCES BERHAD,ENERGY ,ALAM (5115),MAIN,89.88,946.13,-17.74 *,-,-41.26
333,BUMI ARMADA BERHAD,ENERGY ,ARMADA (5210),MAIN,1352.0,5877.0,-38.95 *,-,-68.33
334,BARAKAH OFFSHORE PETROLEUM BERHAD,ENERGY ,BARAKAH (7251),MAIN,50.15,835.79,-,-,-
335,CARIMIN PETROLEUM BERHAD,ENERGY ,CARIMIN (5257),MAIN,209.32,233.88,1.35 *,66.3,2.08
336,COASTAL CONTRACTS BHD,ENERGY ,COASTAL (5071),MAIN,499.98,531.89,-101.29 *,-,-44.84
337,DAYA MATERIALS BERHAD,ENERGY ,DAYA (0091),MAIN,30.64,2043.0000000000002,-7.79 *,-,-
338,DAYANG ENTERPRISE HOLDINGS BERHAD,ENERGY ,DAYANG (5141),MAIN,1351.0,964.81,18.78 *,7.45,16.33
339,DELEUM BERHAD,ENERGY ,DELEUM (5132),MAIN,397.54,401.55,7.12 *,13.9,8.79
340,DIALOG GROUP BERHAD,ENERGY ,DIALOG (7277),MAIN,19069.0,5642.0,9.04 *,37.39,13.59
341,HANDAL RESOURCES BERHAD,ENERGY ,HANDAL (7253),MAIN,73.03,175.97,-,-,-
342,HENGYUAN REFINING COMPANY BERHAD,ENERGY ,HENGYUAN (4324),MAIN,1551.0,300.0,-11.46 *,-,-1.74
343,HIBISCUS PETROLEUM BERHAD,ENERGY ,HIBISCS (5199),MAIN,1684.0,1588.0,19.14 *,5.54,25.18
344,SINO HUA-AN INTERNATIONAL BERHAD,ENERGY ,HUAAN (2739),MAIN,202.02,1122.0,1.77 *,10.17,5.21
345,ICON OFFSHORE BERHAD,ENERGY ,ICON (5255),MAIN,100.06,1177.0,-37.29 *,-,-932.25
346,KNM GROUP BERHAD,ENERGY ,KNM (7164),MAIN,950.47,2604.0,-28.34 *,-,-43.6
347,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,ENERGY ,MHB (5186),MAIN,1216.0,1600.0,-7.92 *,-,-5.33
348,PETRA ENERGY BERHAD,ENERGY ,PENERGY (5133),MAIN,254.18,321.75,-6.31 *,-,-6.01
349,PERDANA PETROLEUM BERHAD,ENERGY ,PERDANA (7108),MAIN,276.36,778.47,-0.92 *,-,-1.74
350,PERISAI PETROLEUM TEKNOLOGI BHD,ENERGY ,PERISAI (0047),MAIN,6.3,1261.0,-22.07 *,-,-
351,PETRON MALAYSIA REFINING & MARKETING BHD,ENERGY ,PETRONM (3042),MAIN,1639.0,270.0,77.75 *,7.81,12.17
352,REACH ENERGY BERHAD,ENERGY ,REACH (5256),MAIN,202.84,1096.0,-3.31 *,-,-4.36
353,SAPURA ENERGY BERHAD,ENERGY ,SAPNRG (5218),MAIN,4794.0,15979.0,1.47 *,20.41,1.69
354,SCOMI GROUP BERHAD,ENERGY ,SCOMI (7158),MAIN,87.51,1094.0,-,-,-
355,SCOMI ENERGY SERVICES BHD,ENERGY ,SCOMIES (7045),MAIN,234.18,2342.0,-,-,-
356,SERBA DINAMIK HOLDINGS BERHAD,ENERGY ,SERBADK (5279),MAIN,6080.0,1469.0,27.74 *,14.92,18.87
357,SUMATEC RESOURCES BERHAD,ENERGY ,SUMATEC (1201),MAIN,106.32,4253.0,-0.10 *,-,-1.1
358,TH HEAVY ENGINEERING BERHAD,ENERGY ,THHEAVY (7206),MAIN,67.28,1121.0,1.31 *,4.58,26.2
359,UZMA BERHAD,ENERGY ,UZMA (7250),MAIN,220.82,320.03,-,-,-
360,VELESTO ENERGY BERHAD,ENERGY ,VELESTO (5243),MAIN,2506.0,8216.0,-0.55 *,-,-1.66
361,WAH SEONG CORPORATION BERHAD,ENERGY ,WASEONG (5142),MAIN,565.67,774.89,7.19 *,10.15,5.66
362,YINSON HOLDINGS BERHAD,ENERGY ,YINSON (7293),MAIN,7852.0,1094.0,20.81 *,34.5,12.69
363,BRITE-TECH BERHAD,UTILITIES ,BTECH (0011),ACE,60.48,252.0,1.59 *,15.09,6.62
364,EDEN INC. BERHAD,UTILITIES ,EDEN (7471),MAIN,67.15,395.03,-1.21 *,-,-1.57
365,GAS MALAYSIA BERHAD,UTILITIES ,GASMSIA (5209),MAIN,3736.0,1284.0,14.12 *,20.61,18.01
366,MALAKOFF CORPORATION BERHAD,UTILITIES ,MALAKOF (5264),MAIN,4400.0,5000.0,5.77 *,15.25,5.02
367,MEGA FIRST CORPORATION BERHAD,UTILITIES ,MFCB (3069),MAIN,1610.0,420.46,31.26 *,12.25,9.03
368,PBA HOLDINGS BHD,UTILITIES ,PBA (5041),MAIN,380.96,331.27,-30.28 *,-,-14.77
369,PETRONAS GAS BERHAD,UTILITIES ,PETGAS (6033),MAIN,34034.0,1979.0,93.12 *,18.47,14.19
370,RANHILL HOLDINGS BERHAD,UTILITIES ,RANHILL (5272),MAIN,1386.0,1066.0,4.58 *,28.38,7.27
371,SALCON BERHAD,UTILITIES ,SALCON (8567),MAIN,216.01,847.11,0.94 *,27.13,1.71
372,TALIWORKS CORPORATION BERHAD,UTILITIES ,TALIWRK (8524),MAIN,1834.0,2016.0,5.12 *,17.77,9.92
373,TENAGA NASIONAL BHD,UTILITIES ,TENAGA (5347),MAIN,77797.0,5687.0,55.58 *,24.61,5.48
374,YTL CORPORATION BERHAD,UTILITIES ,YTL (4677),MAIN,12220.0,10911.0,1.95 *,57.44,1.5
375,YTL POWER INTERNATIONAL BHD,UTILITIES ,YTLPOWR (6742),MAIN,6527.0,8157.999999999999,6.33 *,12.64,3.84
376,ALLIANCE BANK MALAYSIA BERHAD,FINANCIAL SERVICES ,ABMB (2488),MAIN,5759.0,1548.0,34.73 *,10.71,9.39
377,AEON CREDIT SERVICE (M) BERHAD,FINANCIAL SERVICES ,AEONCR (5139),MAIN,4190.0,250.89,135.51 *,12.32,21.72
378,AFFIN BANK BERHAD,FINANCIAL SERVICES ,AFFIN (5185),MAIN,4171.0,1986.0,25.12 *,8.36,5.48
379,ALLIANZ MALAYSIA BERHAD,FINANCIAL SERVICES ,ALLIANZ (1163),MAIN,2439.0,176.77,219.90 *,6.28,11.15
380,AMMB HOLDINGS BERHAD,FINANCIAL SERVICES ,AMBANK (1015),MAIN,12991.0,3014.0,49.94 *,8.63,8.51
381,APEX EQUITY HOLDINGS BERHAD,FINANCIAL SERVICES ,APEX (5088),MAIN,196.48,213.56,3.38 *,27.22,2.27
382,BIMB HOLDINGS BERHAD,FINANCIAL SERVICES ,BIMB (5258),MAIN,7992.0,1764.0,40.38 *,11.22,13.07
383,BURSA MALAYSIA BERHAD,FINANCIAL SERVICES ,BURSA (1818),MAIN,5635.0,808.5,25.62 *,27.21,26.14
384,CIMB GROUP HOLDINGS BERHAD,FINANCIAL SERVICES ,CIMB (1023),MAIN,50583.0,9727.0,56.23 *,9.25,10.18
385,ECM LIBRA FINANCIAL GROUP BERHAD,FINANCIAL SERVICES ,ECM (2143),MAIN,127.18,479.93,0.98 *,27.04,2.72
386,ELK-DESA RESOURCES BERHAD,FINANCIAL SERVICES ,ELKDESA (5228),MAIN,462.5,296.47,11.10 *,14.05,7.99
387,FINTEC GLOBAL BERHAD,FINANCIAL SERVICES ,FINTEC (0150),ACE,30.66,613.14,-6.48 *,-,-26.23
388,HONG LEONG BANK BERHAD,FINANCIAL SERVICES ,HLBANK (5819),MAIN,40320.0,2168.0,122.44 *,15.19,10.06
389,HONG LEONG CAPITAL BERHAD,FINANCIAL SERVICES ,HLCAP (5274),MAIN,2370.0,246.9,29.05 *,33.05,8.88
390,HONG LEONG FINANCIAL GROUP BERHAD,FINANCIAL SERVICES ,HLFG (1082),MAIN,21550.0,1148.0,166.01 *,11.31,9.94
391,INSAS BERHAD,FINANCIAL SERVICES ,INSAS (3379),MAIN,558.13,693.33,10.22 *,7.88,3.95
392,JOHAN HOLDINGS BERHAD,FINANCIAL SERVICES ,JOHAN (3441),MAIN,52.95,622.95,-13.61 *,-,-85.6
393,KENANGA INVESTMENT BANK BERHAD,FINANCIAL SERVICES ,KENANGA (6483),MAIN,411.96,722.74,0.59 *,96.61,0.46
394,KUCHAI DEVELOPMENT BERHAD,FINANCIAL SERVICES ,KUCHAI (2186),MAIN,206.66,123.75,-4.03 *,-,-1.02
395,LPI CAPITAL BHD,FINANCIAL SERVICES ,LPI (8621),MAIN,6374.0,398.38,80.00 *,20,15.98
396,MAA GROUP BERHAD,FINANCIAL SERVICES ,MAA (1198),MAIN,263.94,273.52,-3.02 *,-,-1.54
397,MANULIFE HOLDINGS BERHAD,FINANCIAL SERVICES ,MANULFE (1058),MAIN,576.75,202.37,13.10 *,21.76,3.16
398,MALAYAN BANKING BERHAD,FINANCIAL SERVICES ,MAYBANK (1155),MAIN,100273.0,11241.0,71.62 *,12.45,10.12
399,MALAYSIA BUILDING SOCIETY BERHAD,FINANCIAL SERVICES ,MBSB (1171),MAIN,5782.0,6389.0,6.41 *,14.12,5.19
400,MNRB HOLDINGS BERHAD,FINANCIAL SERVICES ,MNRB (6459),MAIN,859.1,767.05,12.55 *,8.92,4.31
401,MPHB CAPITAL BERHAD,FINANCIAL SERVICES ,MPHBCAP (5237),MAIN,829.4,715.0,3.89 *,29.82,2.04
402,OSK VENTURES INTERNATIONAL BERHAD,FINANCIAL SERVICES ,OSKVI (0053),ACE,85.95,197.6,-7.35 *,-,-8.26
403,PACIFIC & ORIENT BERHAD,FINANCIAL SERVICES ,P&O (6009),MAIN,284.08,286.95,-1.21 *,-,-1.09
404,PUBLIC BANK BERHAD,FINANCIAL SERVICES ,PBBANK (1295),MAIN,89134.0,3882.0,144.13 *,15.93,13.66
405,RCE CAPITAL BERHAD,FINANCIAL SERVICES ,RCECAP (9296),MAIN,590.32,364.39,26.22 *,6.18,15.33
406,RHB BANK BERHAD,FINANCIAL SERVICES ,RHBBANK (1066),MAIN,22978.0,4010.0,58.47 *,9.8,9.62
407,TA ENTERPRISE BERHAD,FINANCIAL SERVICES ,TA (4898),MAIN,1096.0,1712.0,6.38 *,10.03,4.2
408,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,FINANCIAL SERVICES ,TAKAFUL (6139),MAIN,5746.0,826.79,38.87 *,17.88,29.45
409,TUNE PROTECT GROUP BERHAD,FINANCIAL SERVICES ,TUNEPRO (5230),MAIN,545.03,751.76,6.80 *,10.66,9.32
