Name,Sector,Code,Market,Number,Mktcap,Share_count,EPS,PERatio,ROE
MALAYSIA PACIFIC CORPORATION BERHAD,PROPERTY ,MPCORP (6548),MAIN,6548,12.94m,287.66m,-0.17 *,-,-0.4
MALAYSIAN RESOURCES CORPORATION BERHAD,PROPERTY ,MRCB (1651),MAIN,1651,4.147b,4.412b,1.90 *,49.47,1.73
MULTI-USAGE HOLDINGS BERHAD,PROPERTY ,MUH (9539),MAIN,9539,30.47m,56.42m,-6.66 *,-,-5.74
MUI PROPERTIES BERHAD,PROPERTY ,MUIPROP (3913),MAIN,3913,156.63m,764.06m,0.92 *,22.28,2.61
NAIM HOLDINGS BERHAD,PROPERTY ,NAIM (5073),MAIN,5073,480.40m,513.80m,16.05 *,5.83,6.39
ORIENTAL INTEREST BERHAD,PROPERTY ,OIB (5827),MAIN,5827,306.62m,154.86m,35.44 *,5.59,12.98
OSK HOLDINGS BERHAD,PROPERTY ,OSK (5053),MAIN,5053,2.001b,2.095b,17.30 *,5.52,7.62
PARAMOUNT CORPORATION BERHAD,PROPERTY ,PARAMON (1724),MAIN,1724,1.023b,433.34m,21.72 *,10.87,8.72
PASDEC HOLDINGS BERHAD,PROPERTY ,PASDEC (6912),MAIN,6912,152.14m,400.37m,-4.58 *,-,-5.39
PEGASUS HEIGHTS BERHAD,PROPERTY ,PHB (4464),MAIN,4464,71.96m,7.196b,-0.30 *,-,-5.77
PLB ENGINEERING BERHAD,PROPERTY ,PLB (7055),MAIN,7055,129.25m,112.40m,-3.51 *,-,-2.56
PLENITUDE BERHAD,PROPERTY ,PLENITU (5075),MAIN,5075,541.78m,381.53m,10.16 *,13.98,2.49
RAPID SYNERGY BERHAD,PROPERTY ,RAPID (7765),MAIN,7765,614.65m,106.90m,2.28 *,252.19,1.7
SAPURA RESOURCES BERHAD,PROPERTY ,SAPRES (4596),MAIN,4596,92.83m,139.60m,-4.66 *,-,-1.46
SBC CORPORATION BERHAD,PROPERTY ,SBCCORP (5207),MAIN,5207,118.74m,258.13m,5.07 *,9.07,3.02
SELANGOR DREDGING BERHAD,PROPERTY ,SDRED (2224),MAIN,2224,291.90m,426.13m,5.73 *,11.95,2.84
SEAL INCORPORATED BERHAD,PROPERTY ,SEAL (4286),MAIN,4286,74.10m,242.95m,7.41 *,4.12,6.23
SHL CONSOLIDATED BHD,PROPERTY ,SHL (6017),MAIN,6017,583.52m,242.12m,26.12 *,9.23,7.77
SIME DARBY PROPERTY BERHAD,PROPERTY ,SIMEPROP (5288),MAIN,5288,6.733b,6.801b,-,-,-
SOUTH MALAYSIA INDUSTRIES BERHAD,PROPERTY ,SMI (4375),MAIN,4375,35.69m,209.94m,-0.13 *,-,-0.16
SENTORIA GROUP BERHAD,PROPERTY ,SNTORIA (5213),MAIN,5213,127.64m,567.28m,2.32 *,9.7,2.39
S P SETIA BERHAD,PROPERTY ,SPSETIA (8664),MAIN,8664,8.449b,4.042b,16.38 *,12.76,5.35
SUNSURIA BERHAD,PROPERTY ,SUNSURIA (3743),MAIN,3743,667.44m,889.92m,17.15 *,4.37,15.18
SYMPHONY LIFE BERHAD,PROPERTY ,SYMLIFE (1538),MAIN,1538,242.02m,590.28m,13.25 *,3.09,8.66
TADMAX RESOURCES BERHAD,PROPERTY ,TADMAX (4022),MAIN,4022,219.45m,783.76m,1.61 *,17.39,3.35
TA GLOBAL BERHAD,PROPERTY ,TAGB (5158),MAIN,5158,1.304b,5.322b,0.88 *,27.84,1.47
TALAM TRANSFORM BERHAD,PROPERTY ,TALAMT (2259),MAIN,2259,150.33m,4.295b,0.12 *,29.17,1.33
TAMBUN INDAH LAND BERHAD,PROPERTY ,TAMBUN (5191),MAIN,5191,338.09m,433.45m,12.49 *,6.24,8.73
TANCO HOLDINGS BERHAD,PROPERTY ,TANCO (2429),MAIN,2429,32.91m,731.43m,-1.39 *,-,-6.59
THRIVEN GLOBAL BERHAD,PROPERTY ,THRIVEN (7889),MAIN,7889,125.80m,546.94m,5.62 *,4.09,14.41
TIGER SYNERGY BERHAD,PROPERTY ,TIGER (7079),MAIN,7079,63.46m,1.269b,-0.24 *,-,-0.62
TITIJAYA LAND BERHAD,PROPERTY ,TITIJYA (5239),MAIN,5239,396.61m,1.344b,3.24 *,9.1,3.34
TROPICANA CORPORATION BERHAD,PROPERTY ,TROP (5401),MAIN,5401,1.243b,1.470b,11.54 *,7.32,4.87
UEM SUNRISE BERHAD,PROPERTY ,UEMS (5148),MAIN,5148,3.653b,4.537b,6.28 *,12.82,4
UOA DEVELOPMENT BHD,PROPERTY ,UOADEV (5200),MAIN,5200,4.151b,1.845b,22.03 *,10.21,8.57
WMG HOLDINGS BERHAD,PROPERTY ,WMG (6378),MAIN,6378,40.49m,426.17m,-5.38 *,-,-11.7
Y&G CORPORATION BHD,PROPERTY ,Y&G (7003),MAIN,7003,181.44m,199.38m,4.13 *,22.03,2.85
YNH PROPERTY BERHAD,PROPERTY ,YNHPROP (3158),MAIN,3158,1.423b,529.00m,3.35 *,80.3,1.94
YONG TAI BERHAD,PROPERTY ,YONGTAI (7066),MAIN,7066,170.95m,534.21m,-2.05 *,-,-1.85
YTL LAND & DEVELOPMENT BERHAD,PROPERTY ,YTLLAND (2577),MAIN,2577,282.86m,844.34m,-16.26 *,-,-18.48
ASIA MEDIA GROUP BERHAD,TELECOMMUNICATIONS & MEDIA ,AMEDIA (0159),MAIN,159,32.33m,239.46m,-1.26 *,-,-14.65
AMTEL HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,AMTEL (7031),MAIN,7031,36.31m,54.20m,3.50 *,19.14,4.13
ASTRO MALAYSIA HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,ASTRO (6399),MAIN,6399,7.561b,5.214b,8.91 *,16.27,66.99
AXIATA GROUP BERHAD,TELECOMMUNICATIONS & MEDIA ,AXIATA (6888),MAIN,6888,47.286b,9.129b,-45.77 *,-,-24.61
BINASAT COMMUNICATIONS BERHAD,TELECOMMUNICATIONS & MEDIA ,BINACOM (0195),ACE,195,81.90m,260.00m,3.15 *,10,10.86
BERJAYA MEDIA BERHAD,TELECOMMUNICATIONS & MEDIA ,BJMEDIA (6025),MAIN,6025,42.32m,235.08m,-7.23 *,-,-
DIGI.COM BERHAD,TELECOMMUNICATIONS & MEDIA ,DIGI (6947),MAIN,6947,39.264b,7.775b,19.35 *,26.1,215
ECOBUILT HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,ECOHLDS (0059),MAIN,59,34.17m,162.71m,-3.09 *,-,-7.04
GREEN PACKET BERHAD,TELECOMMUNICATIONS & MEDIA ,GPACKET (0082),MAIN,82,349.94m,908.92m,-8.06 *,-,-47.41
INNITY CORPORATION BERHAD,TELECOMMUNICATIONS & MEDIA ,INNITY (0147),ACE,147,65.38m,139.10m,1.05 *,44.76,4.38
MAXIS BERHAD,TELECOMMUNICATIONS & MEDIA ,MAXIS (6012),MAIN,6012,44.029b,7.820b,21.30 *,26.43,23.41
MEDIA PRIMA BERHAD,TELECOMMUNICATIONS & MEDIA ,MEDIA (4502),MAIN,4502,526.87m,1.109b,3.61 *,13.16,5.42
MEDIA CHINESE INTERNATIONAL LIMITED,TELECOMMUNICATIONS & MEDIA ,MEDIAC (5090),MAIN,5090,312.14m,1.687b,-2.73 *,-,-6.72
M N C WIRELESS BERHAD,TELECOMMUNICATIONS & MEDIA ,MNC (0103),ACE,103,31.09m,478.38m,-,-,-
MTOUCHE TECHNOLOGY BERHAD,TELECOMMUNICATIONS & MEDIA ,MTOUCHE (0092),ACE,92,30.51m,508.56m,-4.57 *,-,-38.4
NEXGRAM HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,NEXGRAM (0096),ACE,96,41.42m,2.071b,-2.55 *,-,-0.35
OCK GROUP BERHAD,TELECOMMUNICATIONS & MEDIA ,OCK (0172),MAIN,172,488.02m,871.47m,2.78 *,20.14,5.67
OPCOM HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,OPCOM (0035),ACE,35,86.27m,161.25m,0.29 *,184.48,0.53
PELANGI PUBLISHING GROUP BHD.,TELECOMMUNICATIONS & MEDIA ,PPG (7190),MAIN,7190,35.02m,100.04m,2.61 *,13.41,2.45
PRIVASIA TECHNOLOGY BERHAD,TELECOMMUNICATIONS & MEDIA ,PRIVA (0123),ACE,123,36.28m,558.20m,-0.83 *,-,-6.92
PUC BERHAD,TELECOMMUNICATIONS & MEDIA ,PUC (0007),ACE,7,183.42m,2.158b,0.36 *,23.61,3.05
REDTONE INTERNATIONAL BERHAD,TELECOMMUNICATIONS & MEDIA ,REDTONE (0032),ACE,32,295.85m,758.59m,-,-,-
REV ASIA BERHAD,TELECOMMUNICATIONS & MEDIA ,REV (0173),ACE,173,24.91m,134.64m,-0.34 *,-,-6.8
SASBADI HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA ,SASBADI (5252),MAIN,5252,85.92m,419.10m,0.15 *,136.67,0.39
SEDANIA INNOVATOR BERHAD,TELECOMMUNICATIONS & MEDIA ,SEDANIA (0178),ACE,178,42.23m,248.39m,-1.56 *,-,-13.11
SENI JAYA CORPORATION BERHAD,TELECOMMUNICATIONS & MEDIA ,SJC (9431),MAIN,9431,20.87m,40.53m,-3.21 *,-,-2.45
SILVER RIDGE HOLDINGS BHD,TELECOMMUNICATIONS & MEDIA ,SRIDGE (0129),ACE,129,31.58m,140.35m,-,-,-
STAR MEDIA GROUP BERHAD,TELECOMMUNICATIONS & MEDIA ,STAR (6084),MAIN,6084,472.68m,738.56m,-0.34 *,-,-0.31
TIME DOTCOM BERHAD,TELECOMMUNICATIONS & MEDIA ,TIMECOM (5031),MAIN,5031,5.277b,583.70m,49.49 *,18.27,11.67
TELEKOM MALAYSIA BERHAD,TELECOMMUNICATIONS & MEDIA ,TM (4863),MAIN,4863,16.272b,3.758b,8.10 *,53.46,4.35
UTUSAN MELAYU (MALAYSIA) BERHAD,TELECOMMUNICATIONS & MEDIA ,UTUSAN (5754),MAIN,5754,13.29m,110.73m,-170.52 *,-,-
XOX BHD,TELECOMMUNICATIONS & MEDIA ,XOX (0165),ACE,165,60.08m,1.092b,-0.53 *,-,-4.73
MALAYSIA AIRPORTS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,AIRPORT (5014),MAIN,5014,14.535b,1.659b,26.05 *,33.63,4.69
ANCOM LOGISTICS BERHAD,TRANSPORTATION & LOGISTICS ,ANCOMLB (0048),ACE,48,33.13m,473.29m,-0.18 *,-,-3.6
BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,TRANSPORTATION & LOGISTICS ,BHIC (8133),MAIN,8133,313.06m,248.46m,-47.14 *,-,-51.24
BINTULU PORT HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,BIPORT (5032),MAIN,5032,2.144b,460.00m,32.68 *,14.26,11.78
CHIN HIN GROUP PROPERTY BERHAD,TRANSPORTATION & LOGISTICS ,CHGP (7187),MAIN,7187,92.10m,297.11m,1.15 *,26.96,2.88
CJ CENTURY LOGISTICS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,CJCEN (7117),MAIN,7117,167.55m,394.23m,1.36 *,31.25,1.66
COMPLETE LOGISTIC SERVICES BERHAD,TRANSPORTATION & LOGISTICS ,COMPLET (5136),MAIN,5136,100.33m,125.41m,8.52 *,9.39,6.98
E.A.TECHNIQUE (M) BERHAD,TRANSPORTATION & LOGISTICS ,EATECH (5259),MAIN,5259,234.36m,504.00m,13.13 *,3.54,27.94
FREIGHT MANAGEMENT HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,FREIGHT (7210),MAIN,7210,170.33m,279.22m,5.98 *,10.2,5.75
GD EXPRESS CARRIER BERHAD,TRANSPORTATION & LOGISTICS ,GDEX (0078),MAIN,78,1.664b,5.641b,0.52 *,56.73,5.78
GUNUNG CAPITAL BERHAD,TRANSPORTATION & LOGISTICS ,GUNUNG (7676),MAIN,7676,66.13m,236.18m,-1.75 *,-,-4.18
HARBOUR-LINK GROUP BERHAD,TRANSPORTATION & LOGISTICS ,HARBOUR (2062),MAIN,2062,268.27m,400.40m,8.38 *,8,8.46
HUBLINE BERHAD,TRANSPORTATION & LOGISTICS ,HUBLINE (7013),MAIN,7013,171.86m,3.819b,-0.14 *,-,-2.8
INTEGRATED LOGISTICS BHD,TRANSPORTATION & LOGISTICS ,ILB (5614),MAIN,5614,71.18m,195.03m,-50.21 *,-,-50.61
LINGKARAN TRANS KOTA HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,LITRAK (6645),MAIN,6645,2.565b,528.78m,44.65 *,10.86,25.34
MARINE & GENERAL BERHAD,TRANSPORTATION & LOGISTICS ,M&G (5078),MAIN,5078,54.29m,723.88m,-,-,-
MALAYSIAN BULK CARRIERS BERHAD,TRANSPORTATION & LOGISTICS ,MAYBULK (5077),MAIN,5077,590.00m,1b,26.74 *,2.21,70.18
MISC BERHAD,TRANSPORTATION & LOGISTICS ,MISC (3816),MAIN,3816,32.541b,4.464b,33.86 *,21.53,4.35
MMC CORPORATION BERHAD,TRANSPORTATION & LOGISTICS ,MMCCORP (2194),MAIN,2194,3.654b,3.045b,7.63 *,15.73,2.55
NATIONWIDE EXPRESS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,NATWIDE (9806),MAIN,9806,28.34m,123.24m,-27.15 *,-,-0.49
PDZ HOLDINGS BHD,TRANSPORTATION & LOGISTICS ,PDZ (6254),MAIN,6254,23.87m,681.99m,-1.72 *,-,-21.5
POS MALAYSIA BERHAD,TRANSPORTATION & LOGISTICS ,POS (4634),MAIN,4634,1.472b,782.78m,-21.17 *,-,-9.67
PERAK CORPORATION BERHAD,TRANSPORTATION & LOGISTICS ,PRKCORP (8346),MAIN,8346,35.00m,100.00m,-89.71 *,-,-76.68
SEALINK INTERNATIONAL BERHAD,TRANSPORTATION & LOGISTICS ,SEALINK (5145),MAIN,5145,90.00m,500.00m,-3.62 *,-,-5.1
SEE HUP CONSOLIDATED BERHAD,TRANSPORTATION & LOGISTICS ,SEEHUP (7053),MAIN,7053,68.36m,80.43m,-4.43 *,-,-4.29
STRAITS INTER LOGISTICS BERHAD,TRANSPORTATION & LOGISTICS ,STRAITS (0080),ACE,80,143.14m,650.66m,0.73 *,30.14,4.48
SURIA CAPITAL HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,SURIA (6521),MAIN,6521,463.40m,345.82m,15.72 *,8.52,4.97
SHIN YANG SHIPPING CORPORATION BERHAD,TRANSPORTATION & LOGISTICS ,SYSCORP (5173),MAIN,5173,360.00m,1.200b,-1.26 *,-,-1.29
TAS OFFSHORE BERHAD,TRANSPORTATION & LOGISTICS ,TAS (5149),MAIN,5149,46.80m,180.00m,0.95 *,27.37,1.05
TASCO BERHAD,TRANSPORTATION & LOGISTICS ,TASCO (5140),MAIN,5140,248.00m,200.00m,6.53 *,18.99,3.51
TIONG NAM LOGISTICS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,TNLOGIS (8397),MAIN,8397,225.78m,460.78m,-0.45 *,-,-0.3
TRANSOCEAN HOLDINGS BHD,TRANSPORTATION & LOGISTICS ,TOCEAN (7218),MAIN,7218,20.91m,41.00m,0.30 *,170,0.29
TRI-MODE SYSTEM (M) BERHAD,TRANSPORTATION & LOGISTICS ,TRIMODE (0199),ACE,199,59.76m,166.00m,1.21 *,29.75,2.88
WESTPORTS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,WPRTS (5246),MAIN,5246,13.640b,3.410b,16.12 *,24.81,23.5
XIN HWA HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS ,XINHWA (5267),MAIN,5267,106.92m,216.00m,0.77 *,64.29,1.13
AMANAH HARTA TANAH PNB,REAL ESTATE INVESTMENT TRUSTS ,AHP (4952),MAIN,4952,176.00m,220.00m,5.64 *,14.18,4.45
AL-`AQAR HEALTHCARE REIT,REAL ESTATE INVESTMENT TRUSTS ,ALAQAR (5116),MAIN,5116,1.111b,735.99m,12.31 *,12.27,9.55
AL-SALAM REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,ALSREIT (5269),MAIN,5269,524.90m,580.00m,0 *,-,0
AMFIRST REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,AMFIRST (5120),MAIN,5120,350.06m,686.40m,3.25 *,15.69,2.64
AMANAHRAYA REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,ARREIT (5127),MAIN,5127,481.50m,573.22m,0 *,-,0
ATRIUM REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,ATRIUM (5130),MAIN,5130,173.93m,146.16m,7.96 *,14.95,5.31
AXIS REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,AXREIT (5106),MAIN,5106,2.141b,1.237b,12.13 *,14.26,9.04
CAPITALAND MALAYSIA MALL TRUST,REAL ESTATE INVESTMENT TRUSTS ,CMMT (5180),MAIN,5180,2.126b,2.044b,6.40 *,16.25,5.06
HEKTAR REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,HEKTAR (5121),MAIN,5121,459.65m,461.96m,6.79 *,14.65,4.95
IGB REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,IGBREIT (5227),MAIN,5227,7.050b,3.543b,9.44 *,21.08,8.86
KIP REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,KIPREIT (5280),MAIN,5280,424.45m,505.30m,6.91 *,12.16,6.91
MRCB-QUILL REIT,REAL ESTATE INVESTMENT TRUSTS ,MQREIT (5123),MAIN,5123,1.158b,1.072b,6.67 *,16.19,5.37
PAVILION REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,PAVREIT (5212),MAIN,5212,5.744b,3.039b,9.63 *,19.63,7.61
SUNWAY REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,SUNREIT (5176),MAIN,5176,5.596b,2.945b,14.11 *,13.47,9.7
TOWER REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,TWRREIT (5111),MAIN,5111,251.05m,280.50m,-,-,-
UOA REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS ,UOAREIT (5110),MAIN,5110,558.19m,422.87m,8.57 *,15.4,4.99
YTL HOSPITALITY REIT,REAL ESTATE INVESTMENT TRUSTS ,YTLREIT (5109),MAIN,5109,2.301b,1.704b,8.75 *,15.43,5.64
ALAM MARITIM RESOURCES BERHAD,ENERGY ,ALAM (5115),MAIN,5115,89.88m,946.13m,-17.74 *,-,-41.26
BUMI ARMADA BERHAD,ENERGY ,ARMADA (5210),MAIN,5210,1.352b,5.877b,-38.95 *,-,-68.33
BARAKAH OFFSHORE PETROLEUM BERHAD,ENERGY ,BARAKAH (7251),MAIN,7251,50.15m,835.79m,-,-,-
CARIMIN PETROLEUM BERHAD,ENERGY ,CARIMIN (5257),MAIN,5257,209.32m,233.88m,1.35 *,66.3,2.08
COASTAL CONTRACTS BHD,ENERGY ,COASTAL (5071),MAIN,5071,499.98m,531.89m,-101.29 *,-,-44.84
DAYA MATERIALS BERHAD,ENERGY ,DAYA (0091),MAIN,91,30.64m,2.043b,-7.79 *,-,-
DAYANG ENTERPRISE HOLDINGS BERHAD,ENERGY ,DAYANG (5141),MAIN,5141,1.351b,964.81m,18.78 *,7.45,16.33
DELEUM BERHAD,ENERGY ,DELEUM (5132),MAIN,5132,397.54m,401.55m,7.12 *,13.9,8.79
DIALOG GROUP BERHAD,ENERGY ,DIALOG (7277),MAIN,7277,19.069b,5.642b,9.04 *,37.39,13.59
HANDAL RESOURCES BERHAD,ENERGY ,HANDAL (7253),MAIN,7253,73.03m,175.97m,-,-,-
HENGYUAN REFINING COMPANY BERHAD,ENERGY ,HENGYUAN (4324),MAIN,4324,1.551b,300.00m,-11.46 *,-,-1.74
HIBISCUS PETROLEUM BERHAD,ENERGY ,HIBISCS (5199),MAIN,5199,1.684b,1.588b,19.14 *,5.54,25.18
SINO HUA-AN INTERNATIONAL BERHAD,ENERGY ,HUAAN (2739),MAIN,2739,202.02m,1.122b,1.77 *,10.17,5.21
ICON OFFSHORE BERHAD,ENERGY ,ICON (5255),MAIN,5255,100.06m,1.177b,-37.29 *,-,-932.25
KNM GROUP BERHAD,ENERGY ,KNM (7164),MAIN,7164,950.47m,2.604b,-28.34 *,-,-43.6
MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,ENERGY ,MHB (5186),MAIN,5186,1.216b,1.600b,-7.92 *,-,-5.33
PETRA ENERGY BERHAD,ENERGY ,PENERGY (5133),MAIN,5133,254.18m,321.75m,-6.31 *,-,-6.01
PERDANA PETROLEUM BERHAD,ENERGY ,PERDANA (7108),MAIN,7108,276.36m,778.47m,-0.92 *,-,-1.74
PERISAI PETROLEUM TEKNOLOGI BHD,ENERGY ,PERISAI (0047),MAIN,47,6.30m,1.261b,-22.07 *,-,-
PETRON MALAYSIA REFINING & MARKETING BHD,ENERGY ,PETRONM (3042),MAIN,3042,1.639b,270.00m,77.75 *,7.81,12.17
REACH ENERGY BERHAD,ENERGY ,REACH (5256),MAIN,5256,202.84m,1.096b,-3.31 *,-,-4.36
SAPURA ENERGY BERHAD,ENERGY ,SAPNRG (5218),MAIN,5218,4.794b,15.979b,1.47 *,20.41,1.69
SCOMI GROUP BERHAD,ENERGY ,SCOMI (7158),MAIN,7158,87.51m,1.094b,-,-,-
SCOMI ENERGY SERVICES BHD,ENERGY ,SCOMIES (7045),MAIN,7045,234.18m,2.342b,-,-,-
SERBA DINAMIK HOLDINGS BERHAD,ENERGY ,SERBADK (5279),MAIN,5279,6.080b,1.469b,27.74 *,14.92,18.87
SUMATEC RESOURCES BERHAD,ENERGY ,SUMATEC (1201),MAIN,1201,106.32m,4.253b,-0.10 *,-,-1.1
TH HEAVY ENGINEERING BERHAD,ENERGY ,THHEAVY (7206),MAIN,7206,67.28m,1.121b,1.31 *,4.58,26.2
UZMA BERHAD,ENERGY ,UZMA (7250),MAIN,7250,220.82m,320.03m,-,-,-
VELESTO ENERGY BERHAD,ENERGY ,VELESTO (5243),MAIN,5243,2.506b,8.216b,-0.55 *,-,-1.66
WAH SEONG CORPORATION BERHAD,ENERGY ,WASEONG (5142),MAIN,5142,565.67m,774.89m,7.19 *,10.15,5.66
YINSON HOLDINGS BERHAD,ENERGY ,YINSON (7293),MAIN,7293,7.852b,1.094b,20.81 *,34.5,12.69
BRITE-TECH BERHAD,UTILITIES ,BTECH (0011),ACE,11,60.48m,252.00m,1.59 *,15.09,6.62
EDEN INC. BERHAD,UTILITIES ,EDEN (7471),MAIN,7471,67.15m,395.03m,-1.21 *,-,-1.57
GAS MALAYSIA BERHAD,UTILITIES ,GASMSIA (5209),MAIN,5209,3.736b,1.284b,14.12 *,20.61,18.01
MALAKOFF CORPORATION BERHAD,UTILITIES ,MALAKOF (5264),MAIN,5264,4.400b,5.000b,5.77 *,15.25,5.02
MEGA FIRST CORPORATION BERHAD,UTILITIES ,MFCB (3069),MAIN,3069,1.610b,420.46m,31.26 *,12.25,9.03
PBA HOLDINGS BHD,UTILITIES ,PBA (5041),MAIN,5041,380.96m,331.27m,-30.28 *,-,-14.77
PETRONAS GAS BERHAD,UTILITIES ,PETGAS (6033),MAIN,6033,34.034b,1.979b,93.12 *,18.47,14.19
RANHILL HOLDINGS BERHAD,UTILITIES ,RANHILL (5272),MAIN,5272,1.386b,1.066b,4.58 *,28.38,7.27
SALCON BERHAD,UTILITIES ,SALCON (8567),MAIN,8567,216.01m,847.11m,0.94 *,27.13,1.71
TALIWORKS CORPORATION BERHAD,UTILITIES ,TALIWRK (8524),MAIN,8524,1.834b,2.016b,5.12 *,17.77,9.92
TENAGA NASIONAL BHD,UTILITIES ,TENAGA (5347),MAIN,5347,77.797b,5.687b,55.58 *,24.61,5.48
YTL CORPORATION BERHAD,UTILITIES ,YTL (4677),MAIN,4677,12.220b,10.911b,1.95 *,57.44,1.5
YTL POWER INTERNATIONAL BHD,UTILITIES ,YTLPOWR (6742),MAIN,6742,6.527b,8.158b,6.33 *,12.64,3.84
ALLIANCE BANK MALAYSIA BERHAD,FINANCIAL SERVICES ,ABMB (2488),MAIN,2488,5.759b,1.548b,34.73 *,10.71,9.39
AEON CREDIT SERVICE (M) BERHAD,FINANCIAL SERVICES ,AEONCR (5139),MAIN,5139,4.190b,250.89m,135.51 *,12.32,21.72
AFFIN BANK BERHAD,FINANCIAL SERVICES ,AFFIN (5185),MAIN,5185,4.171b,1.986b,25.12 *,8.36,5.48
ALLIANZ MALAYSIA BERHAD,FINANCIAL SERVICES ,ALLIANZ (1163),MAIN,1163,2.439b,176.77m,219.90 *,6.28,11.15
AMMB HOLDINGS BERHAD,FINANCIAL SERVICES ,AMBANK (1015),MAIN,1015,12.991b,3.014b,49.94 *,8.63,8.51
APEX EQUITY HOLDINGS BERHAD,FINANCIAL SERVICES ,APEX (5088),MAIN,5088,196.48m,213.56m,3.38 *,27.22,2.27
BIMB HOLDINGS BERHAD,FINANCIAL SERVICES ,BIMB (5258),MAIN,5258,7.992b,1.764b,40.38 *,11.22,13.07
BURSA MALAYSIA BERHAD,FINANCIAL SERVICES ,BURSA (1818),MAIN,1818,5.635b,808.50m,25.62 *,27.21,26.14
CIMB GROUP HOLDINGS BERHAD,FINANCIAL SERVICES ,CIMB (1023),MAIN,1023,50.583b,9.727b,56.23 *,9.25,10.18
ECM LIBRA FINANCIAL GROUP BERHAD,FINANCIAL SERVICES ,ECM (2143),MAIN,2143,127.18m,479.93m,0.98 *,27.04,2.72
ELK-DESA RESOURCES BERHAD,FINANCIAL SERVICES ,ELKDESA (5228),MAIN,5228,462.50m,296.47m,11.10 *,14.05,7.99
FINTEC GLOBAL BERHAD,FINANCIAL SERVICES ,FINTEC (0150),ACE,150,30.66m,613.14m,-6.48 *,-,-26.23
HONG LEONG BANK BERHAD,FINANCIAL SERVICES ,HLBANK (5819),MAIN,5819,40.320b,2.168b,122.44 *,15.19,10.06
HONG LEONG CAPITAL BERHAD,FINANCIAL SERVICES ,HLCAP (5274),MAIN,5274,2.370b,246.90m,29.05 *,33.05,8.88
HONG LEONG FINANCIAL GROUP BERHAD,FINANCIAL SERVICES ,HLFG (1082),MAIN,1082,21.550b,1.148b,166.01 *,11.31,9.94
INSAS BERHAD,FINANCIAL SERVICES ,INSAS (3379),MAIN,3379,558.13m,693.33m,10.22 *,7.88,3.95
JOHAN HOLDINGS BERHAD,FINANCIAL SERVICES ,JOHAN (3441),MAIN,3441,52.95m,622.95m,-13.61 *,-,-85.6
KENANGA INVESTMENT BANK BERHAD,FINANCIAL SERVICES ,KENANGA (6483),MAIN,6483,411.96m,722.74m,0.59 *,96.61,0.46
KUCHAI DEVELOPMENT BERHAD,FINANCIAL SERVICES ,KUCHAI (2186),MAIN,2186,206.66m,123.75m,-4.03 *,-,-1.02
LPI CAPITAL BHD,FINANCIAL SERVICES ,LPI (8621),MAIN,8621,6.374b,398.38m,80.00 *,20,15.98
MAA GROUP BERHAD,FINANCIAL SERVICES ,MAA (1198),MAIN,1198,263.94m,273.52m,-3.02 *,-,-1.54
MANULIFE HOLDINGS BERHAD,FINANCIAL SERVICES ,MANULFE (1058),MAIN,1058,576.75m,202.37m,13.10 *,21.76,3.16
MALAYAN BANKING BERHAD,FINANCIAL SERVICES ,MAYBANK (1155),MAIN,1155,100.273b,11.241b,71.62 *,12.45,10.12
