Name,Sector,Code,Market,Number,Mktcap,Share_count,EPS,PERatio,ROE
MMS VENTURES BERHAD,TECHNOLOGY ,MMSV (0113),MAIN,113,153.88m,203.81m,3.27 *,23.09,10.9
MANAGEPAY SYSTEMS BERHAD,TECHNOLOGY ,MPAY (0156),ACE,156,74.60m,710.47m,-1.02 *,-,-7.85
MALAYSIAN PACIFIC INDUSTRIES BERHAD,TECHNOLOGY ,MPI (3867),MAIN,3867,1.939b,209.88m,65.42 *,14.12,9.76
MQ TECHNOLOGY BERHAD,TECHNOLOGY ,MQTECH (0070),ACE,70,19.27m,642.28m,-0.94 *,-,-11.75
MESINIAGA BERHAD,TECHNOLOGY ,MSNIAGA (5011),MAIN,5011,74.29m,60.40m,-21.98 *,-,-11.95
MY E.G. SERVICES BERHAD,TECHNOLOGY ,MYEG (0138),MAIN,138,5.518b,3.606b,-,-,-
MSCM HOLDINGS BERHAD,TECHNOLOGY ,MYSCM (0041),MAIN,41,55.75m,265.49m,-4.92 *,-,-76.88
NETX HOLDINGS BERHAD,TECHNOLOGY ,NETX (0020),ACE,20,61.05m,3.052b,-0.46 *,-,-15.33
NOTION VTEC BERHAD,TECHNOLOGY ,NOTION (0083),MAIN,83,179.91m,333.18m,14.80 *,3.65,12.35
NOVA MSC BERHAD,TECHNOLOGY ,NOVAMSC (0026),ACE,26,78.91m,751.56m,1.10 *,9.55,15.71
OMESTI BERHAD,TECHNOLOGY ,OMESTI (9008),MAIN,9008,193.67m,478.21m,-3.63 *,-,-11.75
OPENSYS (M) BERHAD,TECHNOLOGY ,OPENSYS (0040),ACE,40,95.33m,297.89m,3.28 *,9.76,17.26
ORION IXL BERHAD,TECHNOLOGY ,ORION (0079),ACE,79,102.54m,707.18m,-,-,-
PENTAMASTER CORPORATION BERHAD,TECHNOLOGY ,PENTA (7160),MAIN,7160,1.558b,474.88m,14.63 *,22.42,12.33
PINEAPPLE RESOURCES BERHAD,TECHNOLOGY ,PINEAPP (0006),ACE,6,16.01m,48.50m,-0.32 *,-,-0.59
PRESTARIANG BERHAD,TECHNOLOGY ,PRESBHD (5204),MAIN,5204,242.00m,484.00m,-,-,-
REVENUE GROUP BERHAD,TECHNOLOGY ,REVENUE (0200),ACE,200,382.80m,232.00m,3.69 *,44.72,16.77
REXIT BERHAD,TECHNOLOGY ,REXIT (0106),ACE,106,123.07m,189.33m,4.13 *,15.74,21.74
RADIANT GLOBALTECH BERHAD,TECHNOLOGY ,RGTECH (0202),ACE,202,112.92m,525.20m,0.65 *,33.08,5.75
SECUREMETRIC BERHAD,TECHNOLOGY ,SMETRIC (0203),ACE,203,131.54m,243.60m,-,-,-
SMRT HOLDINGS BERHAD,TECHNOLOGY ,SMRT (0117),ACE,117,44.78m,407.05m,-1.70 *,-,-4.63
SMTRACK BERHAD,TECHNOLOGY ,SMTRACK (0169),ACE,169,34.99m,148.90m,-2.82 *,-,-31.33
SOLUTION ENGINEERING HOLDINGS BERHAD,TECHNOLOGY ,SOLUTN (0093),ACE,93,27.58m,306.45m,-0.93 *,-,-7.5
SYSTECH BHD,TECHNOLOGY ,SYSTECH (0050),ACE,50,67.80m,347.71m,0.22 *,88.64,0.01
TECHNODEX BHD,TECHNOLOGY ,TDEX (0132),ACE,132,38.38m,590.42m,-,-,-
TFP SOLUTIONS BERHAD,TECHNOLOGY ,TFP (0145),ACE,145,28.08m,208.01m,-1.23 *,-,-25.1
THETA EDGE BERHAD,TECHNOLOGY ,THETA (9075),MAIN,9075,49.33m,107.24m,-2.07 *,-,-3.45
TRIVE PROPERTY GROUP BERHAD,TECHNOLOGY ,TRIVE (0118),MAIN,118,35.20m,2.346b,-,-,-
TURIYA BERHAD,TECHNOLOGY ,TURIYA (4359),MAIN,4359,28.59m,228.73m,-0.68 *,-,-1.28
UCREST BERHAD,TECHNOLOGY ,UCREST (0005),ACE,5,111.37m,464.03m,3.13 *,7.67,34.78
UNISEM (M) BERHAD,TECHNOLOGY ,UNISEM (5005),MAIN,5005,1.702b,733.83m,13.06 *,17.76,6.57
UWC BERHAD,TECHNOLOGY ,UWC (5292),MAIN,5292,502.52m,366.80m,-,-,-
VORTEX CONSOLIDATED BERHAD,TECHNOLOGY ,VC (0060),ACE,60,64.14m,388.72m,0.07 *,235.71,0.3
VISDYNAMICS HOLDINGS BERHAD,TECHNOLOGY ,VIS (0120),ACE,120,69.36m,169.17m,3.52 *,11.65,14.67
VITROX CORPORATION BERHAD,TECHNOLOGY ,VITROX (0097),MAIN,97,3.286b,470.74m,23.12 *,30.19,24.89
VIVOCOM INTL HOLDINGS BERHAD,TECHNOLOGY ,VIVOCOM (0069),ACE,69,84.97m,5.665b,-1.27 *,-,-15.88
VSOLAR GROUP BERHAD,TECHNOLOGY ,VSOLAR (0066),ACE,66,67.56m,386.07m,-0.46 *,-,-11.5
VSTECS BERHAD,TECHNOLOGY ,VSTECS (5162),MAIN,5162,183.60m,180.00m,13.61 *,7.49,8.4
WILLOWGLEN MSC BERHAD,TECHNOLOGY ,WILLOW (0008),MAIN,8,220.72m,496.00m,2.72 *,16.36,8.5
WINTONI GROUP BERHAD,TECHNOLOGY ,WINTONI (0141),ACE,141,17.96m,513.00m,-0.32 *,-,-
YGL CONVERGENCE BERHAD,TECHNOLOGY ,YGL (0086),ACE,86,31.36m,232.29m,-1.02 *,-,-14.57
ADVENTA BERHAD,HEALTH CARE ,ADVENTA (7191),MAIN,7191,62.64m,152.79m,-,-,-
APEX HEALTHCARE BERHAD,HEALTH CARE ,AHEALTH (7090),MAIN,7090,994.07m,471.12m,12.06 *,17.5,3.61
CAREPLUS GROUP BERHAD,HEALTH CARE ,CAREPLS (0163),ACE,163,82.36m,531.36m,-0.16 *,-,-0.83
DUOPHARMA BIOTECH BERHAD,HEALTH CARE ,DPHARMA (7148),MAIN,7148,906.78m,661.88m,7.77 *,17.63,10.36
HARTALEGA HOLDINGS BERHAD,HEALTH CARE ,HARTA (5168),MAIN,5168,17.492b,3.351b,13.61 *,38.35,20.31
IHH HEALTHCARE BERHAD,HEALTH CARE ,IHH (5225),MAIN,5225,50.801b,8.774b,7.52 *,76.99,3.01
KOSSAN RUBBER INDUSTRIES BERHAD,HEALTH CARE ,KOSSAN (7153),MAIN,7153,5.116b,1.279b,16.97 *,23.57,16.48
KOTRA INDUSTRIES BERHAD,HEALTH CARE ,KOTRA (0002),MAIN,2,273.53m,143.96m,14.76 *,12.87,12.83
