Code,Price,High,Low,Volume,TimeStamp
EATECH (5259),0.440,0.435 ,0.445,0.4207,2019-07-18 18:38:09.650328
FREIGHT (7210),0.605,0.605 ,0.605,0.0052,2019-07-18 18:38:10.989760
GDEX (0078),0.300,0.300 ,0.310,2.2137,2019-07-18 18:38:12.373729
GUNUNG (7676),0.285,0.285 ,0.285,0.03,2019-07-18 18:38:13.673581
HARBOUR (2062),0.645,0.645 ,0.645,0.004,2019-07-18 18:38:15.015261
HUBLINE (7013),0.045,0.040 ,0.045,0.4658,2019-07-18 18:38:16.409239
ILB (5614),0.350,0.350 ,0.350,0.06,2019-07-18 18:38:17.758261
LITRAK (6645),4.820,4.820 ,4.840,0.1655,2019-07-18 18:38:19.075936
M&G (5078),0.080,0.000 ,0.000,0.0,2019-07-18 18:38:20.408189
MAYBULK (5077),0.615,0.605 ,0.635,0.784,2019-07-18 18:38:21.825900
MISC (3816),7.280,7.240 ,7.390,2.8413,2019-07-18 18:38:23.137661
MMCCORP (2194),1.140,1.130 ,1.170,1.2335,2019-07-18 18:38:24.494499
NATWIDE (9806),0.225,0.000 ,0.000,0.0,2019-07-18 18:38:25.804897
PDZ (6254),0.035,0.030 ,0.035,0.1001,2019-07-18 18:38:27.114088
POS (4634),1.680,1.680 ,1.750,2.9114,2019-07-18 18:38:28.460337
PRKCORP (8346),0.415,0.400 ,0.415,0.0201,2019-07-18 18:38:29.819754
SEALINK (5145),0.200,0.200 ,0.215,4.6849,2019-07-18 18:38:31.107423
SEEHUP (7053),0.850,0.000 ,0.000,0.0,2019-07-18 18:38:32.373767
STRAITS (0080),0.215,0.210 ,0.215,1.2814,2019-07-18 18:38:33.660231
SURIA (6521),1.390,1.370 ,1.390,0.1359,2019-07-18 18:38:34.953290
SYSCORP (5173),0.285,0.285 ,0.295,0.3615,2019-07-18 18:38:36.255250
TAS (5149),0.260,0.250 ,0.260,0.049,2019-07-18 18:38:37.973770
TASCO (5140),1.180,1.180 ,1.200,0.0347,2019-07-18 18:38:39.307021
TNLOGIS (8397),0.510,0.510 ,0.520,1.3335,2019-07-18 18:38:40.657179
TOCEAN (7218),0.495,0.495 ,0.500,0.011,2019-07-18 18:38:42.133185
TRIMODE (0199),0.350,0.350 ,0.350,0.01,2019-07-18 18:38:43.438073
WPRTS (5246),3.920,3.900 ,3.970,1.3062,2019-07-18 18:38:44.734583
XINHWA (5267),0.480,0.430 ,0.480,0.046,2019-07-18 18:38:46.049182
ALAM (5115),0.100,0.095 ,0.110,14.8522,2019-07-18 18:38:47.433592
ARMADA (5210),0.225,0.225 ,0.240,74.4487,2019-07-18 18:38:48.808241
BARAKAH (7251),0.055,0.055 ,0.065,16.8896,2019-07-18 18:38:50.181572
CARIMIN (5257),0.870,0.865 ,0.880,3.3094,2019-07-18 18:38:51.548300
COASTAL (5071),0.935,0.935 ,0.955,0.0233,2019-07-18 18:38:52.915066
DAYA (0091),0.015,0.010 ,0.015,0.9157,2019-07-18 18:38:54.592285
DAYANG (5141),1.350,1.340 ,1.400,13.3328,2019-07-18 18:38:55.948638
DELEUM (5132),0.950,0.945 ,0.950,0.0398,2019-07-18 18:38:57.416864
DIALOG (7277),3.450,3.430 ,3.500,14.2081,2019-07-18 18:38:58.946354
HANDAL (7253),0.415,0.405 ,0.420,2.2823,2019-07-18 18:39:00.346116
HENGYUAN (4324),5.150,5.050 ,5.160,0.2146,2019-07-18 18:39:01.712747
HIBISCS (5199),1.050,1.030 ,1.060,13.2297,2019-07-18 18:39:03.066612
HUAAN (2739),0.180,0.175 ,0.185,1.9796,2019-07-18 18:39:04.437191
ICON (5255),0.090,0.085 ,0.095,5.0528,2019-07-18 18:39:05.760520
KNM (7164),0.350,0.330 ,0.390,219.8112,2019-07-18 18:39:07.036306
MHB (5186),0.830,0.825 ,0.860,1.8508,2019-07-18 18:39:08.418721
PENERGY (5133),0.735,0.730 ,0.760,0.1373,2019-07-18 18:39:09.764687
PERDANA (7108),0.340,0.335 ,0.345,4.7781,2019-07-18 18:39:11.067272
PERISAI (0047),0.005,0.000 ,0.000,0.0,2019-07-18 18:39:12.396182
PETRONM (3042),6.100,6.080 ,6.100,0.0339,2019-07-18 18:39:13.793732
REACH (5256),0.195,0.195 ,0.215,19.6811,2019-07-18 18:39:15.226829
SAPNRG (5218),0.300,0.300 ,0.310,35.2556,2019-07-18 18:39:16.537178
SCOMI (7158),0.090,0.000 ,0.000,0.0,2019-07-18 18:39:17.865156
SCOMIES (7045),0.115,0.110 ,0.120,7.855,2019-07-18 18:39:19.148836
SERBADK (5279),4.180,4.180 ,4.240,5.457,2019-07-18 18:39:20.457771
SUMATEC (1201),0.030,0.030 ,0.035,35.3125,2019-07-18 18:39:21.763087
THHEAVY (7206),0.055,0.055 ,0.060,1.8674,2019-07-18 18:39:23.051033
UZMA (7250),0.675,0.675 ,0.695,2.4774,2019-07-18 18:39:24.330320
VELESTO (5243),0.315,0.315 ,0.330,23.7767,2019-07-18 18:39:25.623436
WASEONG (5142),0.715,0.715 ,0.725,0.1952,2019-07-18 18:39:27.447795
YINSON (7293),7.070,6.970 ,7.110,3.4683,2019-07-18 18:39:28.744750
AHP (4952),0.800,0.790 ,0.800,0.0325,2019-07-18 18:39:30.033398
ALAQAR (5116),1.510,1.500 ,1.510,0.0231,2019-07-18 18:39:31.314757
ALSREIT (5269),0.900,0.900 ,0.920,0.0502,2019-07-18 18:39:33.013131
AMFIRST (5120),0.510,0.510 ,0.515,0.0841,2019-07-18 18:39:34.605019
ARREIT (5127),0.835,0.835 ,0.840,0.0661,2019-07-18 18:39:35.901202
ATRIUM (5130),1.180,1.180 ,1.180,0.0317,2019-07-18 18:39:37.256555
AXREIT (5106),1.870,1.840 ,1.880,0.4655,2019-07-18 18:39:38.550003
CMMT (5180),1.030,1.020 ,1.050,1.6702,2019-07-18 18:39:39.860225
HEKTAR (5121),1.000,0.995 ,1.000,0.2494,2019-07-18 18:39:41.184955
IGBREIT (5227),1.970,1.960 ,1.990,1.7647,2019-07-18 18:39:42.499410
KIPREIT (5280),0.845,0.835 ,0.845,0.0136,2019-07-18 18:39:43.828829
MQREIT (5123),1.080,1.070 ,1.080,0.0202,2019-07-18 18:39:45.128909
PAVREIT (5212),1.880,1.870 ,1.890,0.0368,2019-07-18 18:39:46.422748
SUNREIT (5176),1.880,1.870 ,1.890,6.1939,2019-07-18 18:39:47.728846
TWRREIT (5111),0.900,0.000 ,0.000,0.0,2019-07-18 18:39:49.042640
UOAREIT (5110),1.320,1.320 ,1.330,0.7084,2019-07-18 18:39:50.332608
YTLREIT (5109),1.340,1.330 ,1.350,1.7835,2019-07-18 18:39:51.696903
BTECH (0011),0.235,0.235 ,0.240,0.1429,2019-07-18 18:39:53.092036
EDEN (7471),0.160,0.160 ,0.175,7.2588,2019-07-18 18:39:54.412676
GASMSIA (5209),2.840,2.840 ,2.870,1.962,2019-07-18 18:39:55.744368
MALAKOF (5264),0.885,0.880 ,0.890,2.6414,2019-07-18 18:39:57.150322
MFCB (3069),3.840,3.830 ,3.860,0.2298,2019-07-18 18:39:58.454761
PBA (5041),1.120,0.000 ,0.000,0.0,2019-07-18 18:39:59.859168
PETGAS (6033),16.800,16.800 ,17.080,0.4875,2019-07-18 18:40:01.158791
RANHILL (5272),1.320,1.300 ,1.320,5.1216,2019-07-18 18:40:02.449610
SALCON (8567),0.245,0.245 ,0.250,0.5506,2019-07-18 18:40:03.731339
TALIWRK (8524),0.945,0.930 ,0.945,2.8543,2019-07-18 18:40:05.029685
TENAGA (5347),13.420,13.400 ,13.640,2.3802,2019-07-18 18:40:06.361593
YTL (4677),1.070,1.070 ,1.080,0.5293,2019-07-18 18:40:07.774433
YTLPOWR (6742),0.800,0.795 ,0.800,0.9707,2019-07-18 18:40:09.175203
