Code,Price,High,Low,Volume,TimeStamp
KRONO (0176),0.595,0.590 ,0.610,2.4228,2019-07-18 18:32:27.131613
LAMBO (0018),0.070,0.065 ,0.070,11.1712,2019-07-18 18:32:28.494095
LYC (0075),0.290,0.285 ,0.290,0.7415,2019-07-18 18:32:29.795987
MI (5286),1.690,1.690 ,1.730,0.2784,2019-07-18 18:32:31.093902
MICROLN (0126),0.540,0.510 ,0.540,0.07,2019-07-18 18:32:32.391363
MIKROMB (0112),0.220,0.215 ,0.220,0.02,2019-07-18 18:32:33.659349
MLAB (0085),0.045,0.045 ,0.045,0.497,2019-07-18 18:32:35.005304
MMAG (0034),0.230,0.230 ,0.235,0.04,2019-07-18 18:32:36.344798
MMSV (0113),0.720,0.715 ,0.740,0.2324,2019-07-18 18:32:37.950068
MPAY (0156),0.110,0.105 ,0.110,0.692,2019-07-18 18:32:39.278925
MPI (3867),9.310,0.000 ,0.000,0.0,2019-07-18 18:32:40.586317
MQTECH (0070),0.030,0.025 ,0.030,0.4753,2019-07-18 18:32:41.971943
MSNIAGA (5011),1.200,0.000 ,0.000,0.0,2019-07-18 18:32:43.273214
MYEG (0138),1.550,1.540 ,1.580,10.0273,2019-07-18 18:32:44.619588
MYSCM (0041),0.210,0.205 ,0.210,0.0601,2019-07-18 18:32:45.948067
NETX (0020),0.015,0.010 ,0.020,127.4369,2019-07-18 18:32:47.220857
NOTION (0083),0.525,0.525 ,0.525,0.1003,2019-07-18 18:32:48.528223
NOVAMSC (0026),0.100,0.100 ,0.100,0.2726,2019-07-18 18:32:49.922219
OMESTI (9008),0.395,0.395 ,0.405,0.092,2019-07-18 18:32:51.243872
OPENSYS (0040),0.320,0.320 ,0.320,0.0393,2019-07-18 18:32:52.547357
ORION (0079),0.145,0.140 ,0.145,8.8899,2019-07-18 18:32:54.542835
PENTA (7160),3.320,3.260 ,3.340,3.5153,2019-07-18 18:32:55.862222
PINEAPP (0006),0.330,0.000 ,0.000,0.0,2019-07-18 18:32:57.154628
PRESBHD (5204),0.465,0.465 ,0.510,16.7014,2019-07-18 18:32:58.417400
REVENUE (0200),1.620,1.580 ,1.630,1.638,2019-07-18 18:32:59.814557
REXIT (0106),0.655,0.655 ,0.655,0.002,2019-07-18 18:33:01.085512
RGTECH (0202),0.210,0.210 ,0.210,0.1628,2019-07-18 18:33:02.367749
SMETRIC (0203),0.535,0.525 ,0.535,0.35,2019-07-18 18:33:03.633765
SMRT (0117),0.105,0.000 ,0.000,0.0,2019-07-18 18:33:04.912482
SMTRACK (0169),0.245,0.240 ,0.250,24.6781,2019-07-18 18:33:06.199916
SOLUTN (0093),0.090,0.090 ,0.090,0.0695,2019-07-18 18:33:07.477460
SYSTECH (0050),0.180,0.180 ,0.185,0.297,2019-07-18 18:33:08.776813
TDEX (0132),0.065,0.000 ,0.000,0.0,2019-07-18 18:33:10.061636
TFP (0145),0.130,0.130 ,0.130,0.01,2019-07-18 18:33:11.353427
THETA (9075),0.485,0.475 ,0.490,0.3844,2019-07-18 18:33:12.954596
TRIVE (0118),0.020,0.015 ,0.020,6.4127,2019-07-18 18:33:14.221348
TURIYA (4359),0.120,0.120 ,0.120,0.001,2019-07-18 18:33:15.487865
UCREST (0005),0.225,0.225 ,0.240,3.784,2019-07-18 18:33:16.729171
UNISEM (5005),2.270,2.260 ,2.290,0.0608,2019-07-18 18:33:18.006595
UWC (5292),1.280,1.260 ,1.340,11.3525,2019-07-18 18:33:19.378324
VC (0060),0.195,0.190 ,0.205,4.7127,2019-07-18 18:33:20.608448
VIS (0120),0.385,0.385 ,0.400,0.784,2019-07-18 18:33:21.883084
VITROX (0097),6.840,6.810 ,6.900,0.1635,2019-07-18 18:33:23.198468
VIVOCOM (0069),0.020,0.015 ,0.020,1.054,2019-07-18 18:33:24.559316
VSOLAR (0066),0.200,0.195 ,0.205,17.4213,2019-07-18 18:33:25.819838
VSTECS (5162),1.020,1.010 ,1.020,0.205,2019-07-18 18:33:27.097250
WILLOW (0008),0.430,0.430 ,0.435,0.1758,2019-07-18 18:33:28.398051
WINTONI (0141),0.035,0.000 ,0.000,0.0,2019-07-18 18:33:29.768887
YGL (0086),0.120,0.120 ,0.120,0.0499,2019-07-18 18:33:31.026567
AMEDIA (0159),0.135,0.000 ,0.000,0.0,2019-07-18 18:33:32.332691
AMTEL (7031),0.670,0.000 ,0.000,0.0,2019-07-18 18:33:33.858103
ASTRO (6399),1.430,1.420 ,1.450,1.8908,2019-07-18 18:33:35.386080
AXIATA (6888),5.100,5.030 ,5.150,5.0069,2019-07-18 18:33:36.787745
BINACOM (0195),0.310,0.310 ,0.315,0.2,2019-07-18 18:33:38.126269
BJMEDIA (6025),0.180,0.000 ,0.000,0.0,2019-07-18 18:33:39.403317
DIGI (6947),4.940,4.920 ,4.970,11.4897,2019-07-18 18:33:40.751122
ECOHLDS (0059),0.205,0.205 ,0.215,0.02,2019-07-18 18:33:42.311656
GPACKET (0082),0.445,0.410 ,0.450,47.3952,2019-07-18 18:33:43.708373
INNITY (0147),0.470,0.000 ,0.000,0.0,2019-07-18 18:33:45.017001
MAXIS (6012),5.610,5.590 ,5.700,2.3237,2019-07-18 18:33:46.369943
MEDIA (4502),0.480,0.480 ,0.485,1.7257,2019-07-18 18:33:47.712643
MEDIAC (5090),0.185,0.180 ,0.185,0.466,2019-07-18 18:33:49.105435
MNC (0103),0.060,0.060 ,0.065,0.0722,2019-07-18 18:33:50.498632
MTOUCHE (0092),0.060,0.055 ,0.060,0.1547,2019-07-18 18:33:51.883208
NEXGRAM (0096),0.020,0.015 ,0.020,0.1109,2019-07-18 18:33:53.214552
OCK (0172),0.565,0.565 ,0.585,3.2551,2019-07-18 18:33:54.504754
OPCOM (0035),0.500,0.500 ,0.510,0.2986,2019-07-18 18:33:55.884748
PPG (7190),0.340,0.000 ,0.000,0.0,2019-07-18 18:33:57.263585
PRIVA (0123),0.060,0.060 ,0.060,1.053,2019-07-18 18:33:58.545770
PUC (0007),0.085,0.080 ,0.085,10.2631,2019-07-18 18:33:59.976483
REDTONE (0032),0.365,0.365 ,0.380,3.134,2019-07-18 18:34:01.360630
REV (0173),0.190,0.180 ,0.190,0.011,2019-07-18 18:34:02.700442
SASBADI (5252),0.190,0.190 ,0.195,0.564,2019-07-18 18:34:04.006023
SEDANIA (0178),0.165,0.160 ,0.165,2.5967,2019-07-18 18:34:05.285391
